created_at,entry_id,TEMPERATURE,TURBIDITY,DISOLVED OXYGEN,pH,AMMONIA,NITRATE,Population,Length,Weight
2021-06-25 15:48:59 CET,1,-127,100,0,15.45166,0,0,50,13.45,27.6
2021-06-25 15:49:19 CET,2,-127,100,0,15.45166,0,0,50,13.45,27.6
2021-06-25 15:50:16 CET,3,27.125,100,0,6.01411,0,139,50,13.45,27.6
2021-06-25 15:51:50 CET,4,27.3125,100,0,6.03227,0,131,50,13.45,27.6
2021-06-25 15:52:10 CET,5,27.25,100,0,6.03681,0,133,50,13.45,27.6
2021-06-25 15:52:30 CET,6,27.25,100,0,5.87339,0,130,50,13.45,27.6
2021-06-25 15:52:50 CET,7,27.25,100,0,6.04135,0,126,50,13.45,27.6
2021-06-25 15:53:09 CET,8,27.25,100,0,6.04135,0,114,50,13.45,27.6
2021-06-25 15:53:29 CET,9,27.25,100,0,6.03681,0,128,50,13.45,27.6
2021-06-25 15:53:48 CET,10,27.25,100,0,6.03681,0,116,50,13.45,27.6
2021-06-25 15:54:08 CET,11,27.25,100,0,6.05043,0,129,50,13.45,27.6
2021-06-25 15:54:29 CET,12,27.25,100,0,6.05043,0,128,50,13.45,27.6
2021-06-25 15:56:02 CET,13,27.25,100,4.942,6.01865,0,158,50,13.45,27.6
2021-06-25 15:56:22 CET,14,27.1875,100,1.83,6.04135,1E-05,141,50,13.45,27.6
2021-06-25 15:57:18 CET,15,27.125,100,2.865,6.01411,0,123,50,13.45,27.6
2021-06-25 17:28:46 CET,16,27.125,100,4.66,6.02319,0,128,50,13.45,27.6
2021-06-25 17:29:06 CET,17,27.125,100,0,6.02319,0,309,50,13.45,27.6
2021-06-25 17:29:26 CET,18,27.125,100,0,6.03681,0,251,50,13.45,27.6
2021-06-25 17:30:59 CET,19,27.1875,100,13.56,6.07312,0,72,50,13.45,27.6
2021-06-25 17:31:19 CET,20,27.125,100,0,6.05043,0,194,50,13.45,27.6
2021-06-25 17:32:15 CET,21,27.1875,100,4.464,6.03681,0,87,50,13.45,27.6
2021-06-25 17:33:12 CET,22,27.125,100,12.301,6.0822,1E-05,65,50,13.45,27.6
2021-06-25 17:34:08 CET,23,27.125,100,5.246,6.02319,0,75,50,13.45,27.6
2021-06-25 17:34:28 CET,24,27.125,100,0,6.02319,0,114,50,13.45,27.6
2021-06-25 17:34:48 CET,25,27.1875,100,0,6.00957,0,99,50,13.45,27.6
2021-06-25 17:35:07 CET,26,27.125,100,7.106,6.03227,1E-05,103,50,13.45,27.6
2021-06-25 17:37:18 CET,27,27.1875,100,1.888,6.03681,0,151,50,13.45,27.6
2021-06-25 17:38:14 CET,28,27.125,100,0,6.03681,0,151,50,13.45,27.6
2021-06-25 17:38:34 CET,29,27.125,100,0,6.03227,0,115,50,13.45,27.6
2021-06-25 17:40:44 CET,30,27.125,100,9.942,6.03227,2E-05,48,50,13.45,27.6
2021-06-25 17:41:04 CET,31,27.125,100,9.971,6.03227,4E-05,97,50,13.45,27.6
2021-06-25 17:42:38 CET,32,27.1875,100,0,6.03227,0,209,50,13.45,27.6
2021-06-25 17:44:13 CET,33,27.1875,100,0,6.03681,0,111,50,13.45,27.6
2021-06-25 17:44:34 CET,34,27.1875,100,0,6.03227,0,138,50,13.45,27.6
2021-06-25 17:44:53 CET,35,27.1875,100,4.226,6.01411,0,64,50,13.45,27.6
